"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q8_text"
"32","","","I like it so much.; I like it so much.","NULL; We can play more games, but i think the class already very good for me; The class already very good for me.","","","","5","Strongly Recommend"
"33","","","He always encouraged us and supports us, cares about our progress.; Encourages us to do our homework, cares about our correct understanding of the task; Encouraging and supportive, changed alot in me and my focus.; As a program to begin and practice generally, but not more  of an academic program.","NULL; Since technology took over the Education system, i think it would be better to use it for Writing skills.; Since grammer needs better groups practice or under teacher observation, better to make the homework more of in class tasks.; More audience and infront of the crowd practice","","","","4","Probably Recommend"
"34","","","NULL","NULL, NULL","","","","5","Strongly Recommend"
"35","","","His English is very clear to understand and he’s very helpful, gentle, and kind.; Videos and songs that he brought for us was very helpful and interesting and he taught us a lot of useful grammar, which was not only from books.; I really liked both of movies and watching movie with a teacher’s explanation is very helpful for me to enjoy English movies, and which really helps our vocabularies.; He always showed us interesting videos or news. Studying slang and idioms are very helpful for me to understand native speaker’s conversations.; Definitely","I had a lot of fun!; No idea; No idea","","","","5","Strongly Recommend"
"36","","","TEACHER; TEACHER","NULL, NULL","","","","4","Probably Recommend"
"37","","","She has strong knowledge and well prepared; She is the best.","NULL, NULL","","","","5","Strongly Recommend"
"38","","","NULL","NULL, NULL","","","","4","Probably Recommend"
"39","","","NULL","NULL, NULL","","","","4","Probably Recommend"
"40","","","NULL; orgnize , helpful","NULL, NULL","","","","4","Probably Recommend"
"41","","","This class is the best class in UCLA also it it has the best teacher with so much kindness with us i feel he is like my father because he helped me with my sickness; his class is very good he is the second best class after Michael classes","NULL; nothing because his class do not have any disadvantages; nothing","","","","4","Probably Recommend"
"42","","","","NULL, NULL","","","","4","Probably Recommend"
"43","","","everything; everything","NULL; I can recommend, but school price is pretty expensive","","","","5","Strongly Recommend"
"44","","","Micheal is the best teacher that I will suggest student to study with. I never study with who like him before in my country. He always asks us that we have a question for him or not. He appreciates to answer all the questions. Thanks UCLA extension to let me know the great teacher.; He is kind of genius person, I love him so much.; He is the best teacher that I ever study. He always  lets student to share their own idea. Keep us to know new idiom that I had never known before. He can control student with his voice and his own trick. I’m surely that all student love him.; Here is the best college for all Thai student to get more confidence of their English.","NULL; This class is the best, I don’t need more things.; By the way he is a great teacher but he always give us a lot of quizzes and make me feel that this class is a lot of competitions. I don’t want to get more quiz like this.; I want more hour to study with this guy. More hour for us please.","","","","4","Probably Recommend"
"45","","","Good teacher! Worry about the students and make sure we are learning; Nothing, actually a lot of students have the same complain about him.  Talk only about how rich some people are, talk about rich girlfriends, extremely ironic and huge. I listen bad things about him from at least 7 students. Everybody hates this guy.; THE BEST!!!!!","NULL; Nothing; Move this teacher of UCLA extension","","","","5","Strongly Recommend"
"46","","","He is so kind.  When I asked the question to him , he always taught me kindly and clearly.; He is very strict, that is why I can memorize many vocabulary.  And he sometimes give me “time reading”. So I can grow up my reading skills.; He always makes us funny. His class is very interesting for me. Because he always give us an opportunity to speak and listen English.; I can make many good friends.","NULL; I want you to reduce the price of textbooks.; I want you to reduce the price of textbooks; I want you to reduce the price of textbooks","","","","5","Strongly Recommend"
"47","","","He gives us a lot of opportunity to speak; He gives us a chance to speak","NULL, NULL","","","","4","Probably Recommend"
"48","","","We can study basic grammar; Very active class. I can practice my English so much.","NULL, NULL","","","","5","Strongly Recommend"
"49","","","She is a great teacher.; Tatev is one of my favorite teacher. She is very diligent teacher.","NULL; All is great, but if the textbooks were affordable by your agency, it will be much better since we only spend about 10 weeks with each quarter.","","","","5","Strongly Recommend"
"50","","","I am so lucky to have an AMAZING teacher like Ben.; Her way of teach was good. She is smart.; He is nice teacher.; We learned a loy of things with amazing teacher","NULL; nothing; nothing; nothing; nothing","","","","5","Strongly Recommend"
"51","","","FUNNY AND INTERESTING; NO; NO","NULL; LESS HOMEWORK WILL BE BETTER; LESS HOMEWORK; NO","","","","4","Probably Recommend"
"52","","","he is an energetic teacher","NULL; nothing special; book is too heavy","","","","5","Strongly Recommend"
"53","","","funny; interesting; clear explanation; clear explanation","NULL; more activities; nothing; more activities; more activities","","","","5","Strongly Recommend"
"54","","","he consider about every student, and explain clear; always love shelly so much.; quality school","NULL, NULL","","","","4","Probably Recommend"
"55","","","He always respect students; What he say is very easy to understand.; I like the way to memorize many words.","NULL, NULL","","","","5","Strongly Recommend"
"56","","","NULL; promote her; Kind of with some notes","NULL, NULL; change the text book to the ETS text book.  don't let students practice in class instaid giving more explain and info   time is money and they can practice after classes","","","","4","Probably Recommend"
"57","","","She is great and always answers the questions clearly.; she is a humor person and always tells us something interesting.; she is great and i like the class","NULL, NULL; I hope that she can finish class on time!","","","","5","Strongly Recommend"
"58","","","she is nice teacher.; I love her class; he is nice teacher; nice","NULL; No change; hopefully her class will longer instead of only one hour; no; no change","","","","4","Probably Recommend"
"59","","","Ben is always answering our questions with patience.; Shelley is a dedicated teacher.","NULL; To regulate other students more.; Maybe we can have more optional reading material.","","","","4","Probably Recommend"
"60","","","I can recommend, but school price is pretty expensive","NULL, NULL","","","","5","Strongly Recommend"
"61","","","he's awesome. he is very cooperative with students who want to learn. he knows ho to change the class vibe to something more exciting. eventually he treats all students equally and respectively.; she's professional instructor who wants to develop your skills very good. she's always cheerful and full of energy.; I like his punctuality. his discipline in teaching. he's capable of explaining the material very well.","NULL, NULL","","","","5","Strongly Recommend"
"62","","","She help my essay a lot.","NULL, NULL","","","","3","Not sure"
"63","","","It was very good class. I really learned a lot of valuable knowledge.; The knowledge I learned in this class was so useful. I really loved it!; I really enjoyed this class. It was a great class to learn about America and also in business. I can highly recommend this class to my classmates.","NULL, NULL","","","","5","Strongly Recommend"
"64","","","He is so energectic and make us always motivate and make us feel great","NULL; Nothing","","","","5","Strongly Recommend"
"65","","","I like the style; rich content; clearly; useful","NULL; nothing; It' s hard for me; nothing; the textbook expensive","","","","5","Strongly Recommend"
"66","","","NULL","NULL, NULL","","","","5","Strongly Recommend"
"67","","","NULL","NULL, NULL","","","","5","Strongly Recommend"
"68","","","NULL; Her kindness; She is amazing.  When I ask something, she always teach me very sincerely.  I could learn a lot of academic words.","NULL; Nothing; Nothing; I don't think we needed to do presentation first.  It would be better to practice more.; Nothing","","","","5","Strongly Recommend"
"69","","","I like everything from the class.; Tatev is an amazing teacher!","I need more chances to talk with UCLA student or native people in Los Angeles","","","","5","Strongly Recommend"
"70","","","NULL","NULL, NULL","","","","5","Strongly Recommend"
"71","","","She always prepare whole sections and also explains clearly.; She gives various examples and kind explanation; He knows a lot of information and gives to participate; She gives to us many participation opportunity","I like we can enjoy many experience.; nothing; sometimes he speaks too fast; nothing","","","","4","Probably Recommend"
"72","","","NULL","NULL, NULL","","","","4","Probably Recommend"
"73","","","She answers our question clearly.; He attracts us well; His class is so interesting.  He makes our motivation high.","NULL; Nothing!; I want to read more than now in the class.; Nothing","","","","5","Strongly Recommend"
"74","","","NULL","NULL, NULL","","","","5","Strongly Recommend"
"75","","","- To answer all my question ,and clear.   - To give example that easy to understand.; - To explain the vocabulary clearly and i can figure out in meaning.  - explain about story is interesting and make me easy to understand story.; - fun  - relax  - feel comfortable to public speaking","NULL, NULL","","","","5","Strongly Recommend"
"76","","","The teacher is nice and we learn a lot form this class; I really like this class  we learn not only from the book but also the teachers gives us a lot of information.; I really like this class, it's interesting.; This class is super interesting and I like it a lot.","NULL, NULL; Reading class time can be longer instead of only one hour","","","","4","Probably Recommend"
"77","","","Joan have lots of patients to answer our questions and usually correct our grammar mistake especially at any time; Nice done~; Interesting Teacher, all of us like him","NULL; So far so good; So far so good; so far so good","","","","5","Strongly Recommend"
"78","","","NULL","NULL, NULL","","","","5","Strongly Recommend"
"79","","","She answered question clearly every time; He gave us print that we can practice reading   That is good for me; I like him  Because his class is fun   He gave us lots of opportunities we can talk with our team. So we could also learn how to make pitch with team.","NULL; She should try making more fun in class; Nothing; Nothing","","","","4","Probably Recommend"
"80","","","she like to answer our questions; he was humor and can easily to translate everything to us; he is very humor and he was very patient to us. he can easily organize us and he is the soul of the class","NULL; maybe less homework; very good! please don't change","","","","5","Strongly Recommend"
"81","","","literally I like everything for example, she teaches very well and her handout so nice also when we work as a team with different partner I am so grateful; I like his method in teaching every day different activity for reading and writing and when he explain the meaning for the vocabulary; her handout and when she talk","NULL; nothing; more practice for reading; more practice and explain listening","","","","5","Strongly Recommend"
"82","","","First of all, Bobby is a good teacher. I like her way in teaching and she gives us the information clearly.; First of all, the time of this class is so short. About the teacher, she is not good because one time I had a quiz. So the problem is I should get a high score on this quiz but, she gave me a low score and this is not fair. Also one time I did a presentation and it was perfect as well and it was the top presentation in the class. She gave me the same score of my class mates and this is not fair. Also the book is for children. I came here to study English or to study what is in the supermarket and the grocery’s and how to prepare table for dinner?   My opinion about this class it’s for children and also with this there is unfair in this class.; This class was perfect. Also, Mr.Michel is a good teacher.","NULL; Actually everything is good in this class.; I would like to change the teacher and the book; Nothing everything was perfect.","","","","5","Strongly Recommend"
"83","","","NULL","NULL, NULL","","","","5","Strongly Recommend"
"84","","","NULL; I like Gene; Ben is the best!!","NULL, NULL; No comment; No comment","","","","5","Strongly Recommend"
"85","","","NULL","NULL, NULL","","","","5","Strongly Recommend"
"86","","","she helps us strongly.; He is polite, because he taught us new vocabularies repeatedly.","NULL; nothing.; I don't know how to speak with my classmates in this course.; nothing.","","","","5","Strongly Recommend"
"87","","","I like her when she speak English clearly with the grammar she helped me a lot I appreciate that .; He has a sweet personality in learning English and making the way of memorizing words more exciting and interesting.","NULL; I think that , you should practice more speaking in class.","","","","5","Strongly Recommend"
"88","","","NULL","NULL, NULL","","","","4","Probably Recommend"
"89","","","i like grammar and my classmate","NULL, NULL; a lot of paper; a lot of paper","","","","5","Strongly Recommend"
"90","","","Yes; Yes","NULL, NULL","","","","5","Strongly Recommend"
"91","","","Bobby is an excellent teacher.  She has a good organization ability.  Btw, she gives us a lot of hangouts every day, and there are very useful.; I can't study new knowledge in this class.  I often study this textbook by myself.   I want to improve my speaking and listening ability. But in this class, I want to improve only by self-study.; Let me feel the joy of reading.   I read 3 English books in 3 months.","NULL; Keep your style!; I think this class should improved organization ability.; Sometimes each chapter is a little slow.","","","","4","Probably Recommend"
"92","","","I liked the teaching method, and it is very useful.; great teacher; good teacher . he has a lot of activities . and god way for teaching .","NULL; no changes; not enough time for listening skill.; no changes .","","","","5","Strongly Recommend"
"93","","","I like bella class","NULL, NULL","","","","4","Probably Recommend"
"94","","","NULL; I love hir class","NULL, NULL","","","","3","Not sure"
"95","","","i feel so good for this class.; So far no comments; Very Kind and patient","NULL; not yet; So far no comments; Not yet","","","","5","Strongly Recommend"
"96","","","My  teacher explains things clearly; my teacher explains things clearly:; teacher explains things not clearly:","NULL; agin; agin","","","","5","Strongly Recommend"
"97","","","Nothing; Good; Nothing; Nothing","NULL; Should change; Nothing; Should change; Nothing","","","","4","Probably Recommend"
"98","","","NULL","NULL, NULL","","","","4","Probably Recommend"
"99","","","I like to say English sentences again and again.; I like Group discussion.","NULL, NULL","","","","4","Probably Recommend"
"100","0","0","0","0","0","0","0","4","Likely"
"101","no","it is best","good teacher","amusement","no","it is good","yes ,they are friendly","5","Very likely"
"102","for my friends, he study in UCLA Extension","because my friend recommended me ALC","the concern of the teachers; i have only been a quarter, i think it is too early to realize the changes, but i see progress.","I would add party activities to have a different instance of meeting the students.","nothing","I have two small businesses in my country.  i have  Nothing related to English","My goal is to continue studying English and be here until I know the language perfectly and then study a career related to what I study in my country","5","Very likely"
"103","My teacher in my country recommended to me.","Cuz I like L.A..","reading class","field trips","I could realize English grammar is easier than my language.","a student (still now)","My goal is to be able to talk to people with using English","4","Likely"
"104","FROM FRIEND","BE PERFORSSIONAL","AIEP","CONVERSATION","NO","WORKED AT BANK","NO","5","Very likely"
"105","conversation","please","staff","free event","get basic skills","no","like native","4","Likely"
"106","friends","friend advice","students","new students","school video games","local serves","speck English an write very will","5","Very likely"
"107","i learn a lot about them","my friend told me about it","every thing","nothing","hh","i am student","i want to improve me engish and i want to fount job","5","Very likely"
"108","grammar","no","grammar and communication","social events","no","no working","I want go college","5","Very likely"
"109","my friend told me","because the environment here is good","participate in activities with classmates; Teachers are very enthusiastic","we need more experience; I wish we could have more oral practice","NO","I have my own company","I hope I can communicate with my clients fluently","5","Very likely"
"110",".",".","Bobby class",".",".",".",".","4","Likely"
"111","good !!!! i loved the showcase , i thought i could not speak in English and I succeeded.","maybe , it is very expensive .","extra help in the lab . i strat recommending ALCP  to my friends.","more social events for practice speak with other students .","VERY BASIC","i was working in a bank .","my goal is study at the UCLA  university . I need to prepare in an INTENSIVE ENGLISH ,","5","Very likely"
"112","ONE OF MY RELATIVE","TO IMPROVE MY ENGLISH","STAFF AND TEACHERS","NONE","NONE","------","APPLYING INTO A MASTER program","5","Very likely"
"113","Program of my university","It’s because Los Angeles is the big city.","Presentation.","I’m satisfied","I’ve studied for about 10 years but not seriously","I worked at a store that sells clothing.","I’d like to make friends who come from different countries and work several jobs not just one.","3","Not sure"
"114","My agency introduced ALC to me.","I am planing to apply for UCLA, but I had a half gap year last year after I graduated from high school. Even though I went to high school in the U.S., I was afraid that I might forget some of english skills in this half year. So I am here is improve.","I like my teacher Michael Thomas and Joan the best!!!! Make me think about what I am going to do next, and I already have a plan now. They are all so friendly and kind.","There are a lot of events provided for us to join the UCLA and make new friends.","I wen to high school in Indianapolis, Indiana for my freshmen, sophomore, and junior year. But I went back to an international shcool during the second half of my junior year in my city back in china.","I have not worked yet.","I want to apply to UCLA.","5","Very likely"
"115","It helps prepare tofel","Because i want to increase my English skills","They have really good teachers","The activities are really good","I feel very good and i learned a lot","Dont have wrok before","I want to enroll the higher level of advanced studying","5","Very likely"
"116","internet","it is well known school in English teaching.","the variety of students and courses","Speaking class to talk and negotiate different topics, so we can improve our conversation skill","I don't really had a good experience learning English before I came here.","I don't have working experience","I am applying for masters. My experience at ALC has really improved my English skills and prepared me for graduate school.","5","Very likely"
"117","UCLA website","Good comments.","Michael's class; I loved being here for 2.5 months. There was so much that I did not know about universities here. Now I think I am much more prepared to apply for my masters; Nice people.","Volunteering","I had Australian co workers so that helped me with my english too","I worked for a mining company for 5.5 years as a project administrator.","Get accepted for my non-profit management masters. To improve my reading and writing skills was a must.","5","Very likely"
"118","Friends","Friends recommend","Teachers are responsible.","Have more chances to talk with different people.","I did speak English at all.","I was a student.","I am going to achieve higher academic goal.","5","Very likely"
"119","By checking the UCs language centers.","people recommended it on Google maps, also it is part of UCLA. but if i am going to choose it again, it will be for the amazing stuff the ALC has.","The family feeling between us; You are always with us. Thanks for your hardworking. I can tell that you are the secret knights of ALC","I think volunteering opportunity with events in the UCLA weekly, where we can meet native speakers and get in touch with them.","It was not as good as what i experienced here.","Full-life student :p","Apply to Graduate school. By knowing more about the English language, American culture, Universities, Education system, and applying process.","5","Very likely"
"120","Google - other student experience","It has a good academic  program","All the employees want to help the student. I love the activities. I found the reach way is very serious in a good way that will prepare us to the collage .","The activities that held on 3/6 I think if it have a batter schedule and held in one place will be better. Because some classes had a lot of visitors and others did not because people will go where the crowded is not where is written in the schedule.","I did not have. My school just gave us some grammar rules to remember for the test. So I just used to listen to movies and some times try to use the basic with the foreign workers","I don't find this question is clear","Complete studying in collage.   It's help me a lot first it gave me a small brief about the American teaching system,help me with every thing that required for collage","5","Very likely"
"121","From my friend","Because it is the best!","I love how everyone in this center is like a family!","No comment","None","None","To continue my graduate school and find a job.","5","Very likely"
"122","From UCLA","Because it's UCLA's language center, and i believe it's better than others","Teachers","No","I just studied by myself.","Marketing manager","To get master degree in UCLA. I think my English skills have improved a lot.This is the foundation for my future study","4","Likely"
"123","Website","I chose this school because reputation and it's under the name of UCLA. ALC is a real and qualified language school. It's good for my visa.","I like teachers and the contents in class.","Language partner improve my experience.","I had been studying English for my whole life, but when I finished class I spoke my native language. I could read, write, listen and speak but not that good.","I had no working experience.","I had weaker skills. My writing skill was not critical, my reading skill was weak, and my speaking skill was the worst.","5","Very likely"
"124","from my friend.","to improve my writing skill.","that i can choose some classes.","go out side and ask people and write what they have said.","good enough.","I did not work in the US.","to finish the university","5","Very likely"
"125","from internet.","because its a such famous institute","They helped me a lot.","Nothing","I have a lot of experience in English language","nothing","I want to apply to university","5","Very likely"
"126","d","d","d","I want to mention one thing I'm not satisfy. We used to study in the lap for 1 hour and a half. But now only 1 hour. I don't know if you will take it seriously but it's really disappointing.","d","d","d","4","Likely"
"127","By searching.","Because it has a good reputation and staff members.","They have a great deal of resources and activities.","I don;t have any idea","It is not easy but in the ALC there are many people who would be happy to help you learn.","N/V","The time I spent here helped me in improving my English Academic skills that I will definitely need to use them during my years at college. I want to earn a master's degree in Clinical Nutrition science.","5","Very likely"
"128","introducing from my university","To study English at ALC was a only way to stay in LA in my university","the are a lot of outdoor activities and also they often give some chances to talk with native people to us","It is better to make a class outside on a regular class day, especially in Santa Monica or Venice Beach","I had been studying English for 6 years before I came to the US","part-time-job","guraduate my university then I will come to the US and then I will take catificate program the try to find a job in the US","4","Likely"
"129","good","My friends recommend","i love many campus activities","join some local activities","before i never been here","i worked hospitality industry","fluency and accuracy  speaking","5","Very likely"
"130","I was told by my business partner.","Because i think it's the best one in LA.","Then instructors here are super nice, i'm happy to study here, and help me to study more effectively. They almost help me to solve all my problems.","I would like to do more volunteer activities. I like ALC program, but I hope the class time can be longer.","I was learning from my middle school, high school and university.","I worked for my own online business of clothig for ten years, and then I started to produce movie.","I want to apply for UCLA master degree of MBA","5","Very likely"
"131","ONLINE","GOOD EDUCATION","IT WAS GOOD","LECTURE","NO","NO","APPLE FOR UCLA","5","Very likely"
"132","My friend recommended me","To get high score in IELTS + cultivate my English skills","I love the activities here. Every time I meet new friend; Judy is respectable. She always extricates myself from my own issues whenever I need her; The staff members are helpful. sometimes they misunderstand me but they try to figure requests out","playing games and challenging","Teaching","I was teaching students in an engineering department","Enroll in MS in one of the US universities","4","Likely"
"133","Kika silva","Kika Silva, and also because it's a complete program","Share with people from other countries, because that helps to understand not only natives speakers, also international","....","Since 2016 I stop to study English because in my university we don't have English class, so i start to lose my english",".....","I WANT TO STUDY HERE, I WANT TO TRAVEL AND USE MY ENGLISH BECAUSE THIS OPPORTUNITY IT'S AMAZING AND I'M SO GRATEFUL","5","Very likely"
"134","idk","my agent recommended me","Teachers  are generous","volunteer","in school","just part-time job","work in the international company","5","Very likely"
"135","joyful","good education","all","volunteer","I studied English until University, but I couldn't speak well","I worked in hospital such as nurse","strong mind to speak with native speaker","5","Very likely"
"136","I checked UCLA extension website","because of UCLA","ALC creates a learning environment","any activity right after school(3 pm) because I live far from here.","I learned English in my home country, which is not an English environment.","I was a flight attendant, working for five years","I'm planning to study certificate  or continuing course. The experience in here helps me understand academic English more.","5","Very likely"
